Code,Name
1815,powiat ropczycko-sędziszowski
1410,powiat łosicki
1418,powiat piaseczyński
1425,powiat radomski
1427,powiat sierpecki
1404,powiat gostyniński
1405,powiat grodziski (mazowieckie)
0611,powiat łukowski
0618,powiat tomaszowski
0662,powiat Chełm
1202,powiat brzeski (małopolskie)
1261,powiat Kraków
1020,powiat zgierski
0807,powiat sulęciński
1810,powiat łańcucki
1601,powiat brzeski
3018,powiat ostrzeszowski
1463,powiat Radom
1438,powiat żyrardowski
3016,powiat obornicki
3013,powiat leszczyński
1464,powiat Siedlce
3063,powiat Leszno
3009,powiat kolski
2062,powiat Łomża
3022,powiat rawicki
3023,powiat słupecki
2206,powiat kościerski
2613,powiat włoszczowski
3214,powiat stargardzki
0264,powiat Wrocław
2806,powiat giżycki
2810,powiat mrągowski
0203,powiat głogowski
3202,powiat choszczeński
2475,powiat Sosnowiec
2412,powiat rybnicki
2466,powiat Gliwice
2468,powiat Jaworzno
0402,powiat brodnicki
0418,powiat włocławski
0463,powiat Toruń
0416,powiat tucholski
2411,powiat raciborski
2403,powiat cieszyński
1807,powiat krośnieński
1607,powiat nyski
0261,powiat Jelenia Góra
0225,powiat zgorzelecki
1422,powiat przasnyski
1461,powiat Ostrołęka
3025,powiat średzki
3006,powiat jarociński
2262,powiat Gdynia
3263,powiat Świnoujście
0207,powiat kamiennogórski
1008,powiat pabianicki
2006,powiat kolneński
1661,powiat Opole
2815,powiat ostródzki
2471,powiat Piekary Śląskie
1429,powiat sokołowski
2609,powiat sandomierski
1813,powiat przemyski
1862,powiat Przemyśl
1432,powiat warszawski zachodni
0619,powiat włodawski
0663,powiat Lublin
1201,powiat bocheński
1263,powiat Tarnów
0812,powiat wschowski
0803,powiat międzyrzecki
0805,powiat słubicki
3015,powiat nowotomyski
3028,powiat wągrowiecki
2003,powiat bielski (podlsakie)
2012,powiat suwalski
2212,powiat słupski
2607,powiat ostrowiecki
2610,powiat skarżyski
2205,powiat kartuski
2404,powiat częstochowski
3212,powiat pyrzycki
2474,powiat Siemianowice Śląskie
2861,powiat Elbląg
3206,powiat gryfiński
2462,powiat Bytom
0226,powiat złotoryjski
0223,powiat wrocławski
0213,powiat milicki
0211,powiat lubiński
0408,powiat lipnowski
0419,powiat żniński
0411,powiat radziejowski
0410,powiat nakielski
2801,powiat bartoszycki
2417,powiat żywiecki
2011,powiat sokólski
1805,powiat jasielski
1602,powiat głubczycki
1210,powiat nowosądecki
0862,powiat Zielona Góra
1063,powiat Skierniewice
0810,powiat żagański
2261,powiat Gdańsk
1061,powiat Łódź
1010,powiat piotrkowski
2213,powiat starogardzki
3062,powiat Konin
3064,powiat Poznań
3010,powiat koniński
1818,powiat stalowowolski
1864,powiat Tarnobrzeg
1420,powiat płoński
1426,powiat siedlecki
1403,powiat garwoliński
1409,powiat lipski
0604,powiat hrubieszowski
0607,powiat kraśnicki
0610,powiat łęczyński
0612,powiat opolski (lubelskie)
0616,powiat rycki
0664,powiat Zamość
1204,powiat dąbrowski
1206,powiat krakowski
1018,powiat wieruszowski
0811,powiat żarski
0802,powiat krośnieński (lubuskie)
1803,powiat dębicki
1606,powiat namysłowski
3002,powiat czarnkowsko-trzcianecki
1462,powiat Płock
2004,powiat grajewski
2611,powiat starachowicki
2605,powiat konecki
2804,powiat elbląski
2811,powiat nidzicki
2812,powiat nowomiejski
2472,powiat Ruda Śląska
3201,powiat białogardzki
2416,powiat zawierciański
2463,powiat Chorzów
2469,powiat Katowice
0201,powiat bolesławiecki
0265,powiat Wałbrzych
0413,powiat sępoleński
0464,powiat Włocławek
2005,powiat hajnowski
1203,powiat chrzanowski
3262,powiat Szczecin
2211,powiat pucki
1013,powiat rawski
1005,powiat łowicki
1015,powiat skierniewicki
2807,powiat iławski
0861,powiat Gorzów Wielkopolski
1416,powiat ostrowski (mazowieckie)
1430,powiat szydłowiecki
0407,powiat inowrocławski
1812,powiat niżański
1820,powiat tarnobrzeski
1414,powiat nowodworski (mazowieckie)
1421,powiat pruszkowski
1401,powiat białobrzeski
1435,powiat wyszkowski
0602,powiat biłgorajski
0603,powiat chełmski
0613,powiat parczewski
0617,powiat świdnicki
1002,powiat kutnowski
1006,powiat łódzki wschodni
1806,powiat kolbuszowski
1608,powiat oleski
1611,powiat strzelecki
3031,powiat złotowski
2063,powiat Suwałki
3011,powiat kościański
3005,powiat grodziski
3024,powiat szamotulski
2661,powiat Kielce
2805,powiat ełcki
0202,powiat dzierżoniowski
2214,powiat tczewski
3208,powiat kołobrzeski
3261,powiat Koszalin
2406,powiat kłobucki
2405,powiat gliwicki
2407,powiat lubliniecki
2461,powiat Bielsko-Biała
0262,powiat Legnica
0406,powiat grudziądzki
