Name,Code
Nagłowice,2602042
Sędziszów,2602063
Imielno,2602012
Bieliny,2604012
Mniów,2604112
Końskie,2605033
Stąporków,2605083
Ożarów,2606053
Wilczyce,2609082
Pińczów,2608043
Osiek – Staszowski,2612043
Waśniów,2607062
Złota,2608052
Sandomierz,2609011
Samborzec,2609072
Giżycko,2806011
Pasłęk,2804073
Kluczewsko,2613012
Iława,2807011
Barczewo,2814013
Bisztynek,2801043
Grunwald,2815032
Ostróda,2815011
Olsztyn – Olsztyn,2862011
Pozezdrze,2819022
Lelkowo,2802042
Działdowo,2803011
Braniewo  (gmina wiejska),2802022
Margonin,3001043
Tomice,1218082
Lwówek Śląski,212033
Warlubie,414112
Gostycyn,416022
Biała Podlaska (gmina wiejska),601032
Wisznice,601182
Sławatycze,601142
Piszczac,601112
Rossosz,601132
Buczek,1003012
Józefów – Otwocki,1417011
Celestynów,1417032
Kuczbork-Osada,1437022
Choroszcz,2002013
Tuchola,416063
Chodecz,418063
Goraj,602062
Turobin,602142
Gubin (gmina wiejska),802052
Gubin,802011
Bytnica,802032
Witonia,1004082
Lesznowola,1418032
Bodzanów,1419022
Chmielnik – Rzeszowski,1816042
Trzebownisko,1816132
Łapy,2002063
Poświętne – Białostocki,2002082
Lubraniec,418123
Częstochowa,2464011
Kuźnia Raciborska,2411053
Kornowac,2411022
Żarki,2409053
Włodowice,2416092
Żarnowiec,2416102
Miedzna,1433062
Korytnica,1433032
Racławice,1208062
Pcim,1209042
Janikowo,407053
Rymań,3208052
Biesiekierz,3209022
Janowiec,614032
Końskowola,614052
Puławy (gmina wiejska),614092
Liniewo,2206052
Zapolice,1019032
Galewice,1018032
Skołyszyn,1805092
Wojaszówka,1807092
Wojcieszów,226011
Złotoryja,226021
Pakość,407073
Rojewo,407082
Bobrowniki – Lipnowski,408022
Boleszkowice,3210022
Nowogródek Pomorski,3210052
Ulan-Majorat,615072
Nowodwór,616032
Stężyca – Rycki,616052
Świdnik,617011
Głowno,1020011
Głowno (gmina wiejska),1020052
Rogów,1021052
Garwolin,1403011
Borowie,1403032
Żelechów,1403143
Horyniec-Zdrój,1809032
Wąsosz – Górowski,204043
Lipiany,3212033
Kozielice,3212022
Darłowo (gmina wiejska),3213032
Tomaszów Lubelski,618011
Rachanie,618072
Potęgowo,2212072
Główczyce,2212042
Głuchów,1015022
Zawidz,1427072
Sokołów Podlaski,1429011
Skarbimierz,1601022
Jasienica Rosielna,1802052
Czarna – Bieszczadzki,1801032
Liszki,1206072
Sokółka,2011083
Suwałki (gmina wiejska),2012072
Klukowo,2013042
Milanów,613032
Inowłódz,1016052
Lubochnia,1016062
Sterdyń,1429092
Sochaczew,1428011
Iłów,1428032
Sochaczew (gmina wiejska),1428072
Teresin,1428082
Jarosław (gmina wiejska),1804042
Limanowa,1207011
Słopnice,1207112
Dąbrowa Chełmińska,403022
Solec Kujawski,403083
Ciechocin,405022
Radomin,405052
Świerzno,3207052
Chojna,3206033
Żychlin,1002113
Bedlno,1002022
Bielawa,202011
Ryńsk,417052
Rajcza,2417112
Godów,2415052
Istebna,2403092
Cisna,1821022
Lutowiska,1801052
Mrozy,1412123
Hajnówka (gmina wiejska),2005062
Jaworzyna Śląska,219043
Dębowiec – Cieszyński,2403062
Annopol,607023
Gorzków,606032
Rudnik – Krasnostawski,606092
Skąpe,808032
Łagów – Świebodziński,808022
Bojadła,809022
Babimost,809013
Czarnocin – Piotrkowski,1010022
Moszczenica – Piotrkowski,1010062
Rozprza,1010082
Poddębice,1011033
Klwów,1423032
Rusinów,1423072
Dobrodzień,1608013
Iwkowa,1202062
Mońki,2008063
Boguszów-Gorce,221011
Kamienica Polska,2404042
Michów,608082
Ostrówek – Lubartowski,608112
Czerwieńsk,809033
Gomunice,1012042
Lgota Wielka,1012082
Radomsko (gmina wiejska),1012122
Jastrzębia,1425042
Ozimek,1609083
Babice,1203022
Mędrzechów,1204042
Perlejewo,2010082
Wołów,222033
Długołęka,223022
Krzęcin,3202042
Brąszewice,1014032
Wolanów,1425122
Mordy,1426053
Siedlce (gmina wiejska),1426082
Leśnica,1611043
Ujazd – Strzelecki,1611063
Zawadzkie,1611073
Biecz,1205023
Puńsk,2009042
Kuźnica,2011052
Sidra,2011072
Stoczek Łukowski,611021
Debrzno,2203043
Kobylnica,2212062
Huszlew,1410012
Łosice,1410023
Goszczyn,1406042
Błędów,1406022
Czarna – Łańcucki,1810032
Wolbrom,1212073
Sucha Beskidzka,1215021
Wądroże Wielkie,205062
Wielgie,408092
Tłuchowo,408082
Radziejów,411011
Chociwel,3214023
Ińsko,3214053
Urszulin,619052
Radecznica,620082
Starogard Gdański (gmina wiejska),2213122
Zblewo,2213132
Tczew (gmina wiejska),2214062
Szelków,1411102
Mińsk Mazowiecki,1412011
Stanisławów,1412142
Sulejówek,1412151
Gniewoszów,1407032
Łańcut (gmina wiejska),1810042
Rzepiennik Strzyżewski,1216072
Kłodzko (gmina wiejska),208072
Szczawnica,1211023
Sękowa,1205092
Szczytna,208143
Lewin Kłodzki,208092
Józefów nad Wisłą,612023
Wiślica,2601083
Sanniki,1404043
Jednorożec,1422042
Jasionówka,2008022
Tychy,2477011
Nowe Miasto nad Wartą,3025032
Sopot,2264011
Hel,2211011
Krokowa,2211062
Rawa Mazowiecka (gmina wiejska),1013042
Zduńska Wola (gmina wiejska),1019042
Czerniewice,1016042
Mały Płock,2006042
Iława (gmina wiejska),2807032
Bartoszyce (gmina wiejska),2801032
Świerklaniec,2413072
Orzesze,2408031
Sadowne,1433072
Wolin,3207063
Pacanów,2601043
Swarzędz,3021163
Drawsko,3002032
Połajewo,3002062
Włoszakowice,3013072
Rydzyna,3013043
Czajków,3018012
Kaczory,3019032
Piła,3019011
Wysoka,3019093
Ujście,3019073
Kleszczewo,3021062
Obrzycko (gmina wiejska),3024042
Miejska Górka,3022033
Skoki,3028053
Krajenka,3031033
Wilczyn,3010142
Sompolno,3010103
Dąbie – Kolski,3009043
Stawiszyn,3007093
Trzcinica,3008072
Kłodawa – Kolski,3009063
Kazimierz Biskupi,3010032
Zakrzewo – Złotowski,3031072
Zduny – Krotoszyński,3012063
Kłobuck,2406013
Koźmin Wielkopolski,3012033
Wielowieś,2405082
Międzyrzecz,803023
Bytom Odrzański,804023
Ośno Lubuskie,805033
Rzgów – Łódzki Wschodni,1006103
Paradyż,1007052
Opoczno,1007043
Sławno – Opoczyński,1007072
Załuski,1420122
Gogolin,1605013
Zdzieszowice,1605053
Przemków,216053
Borów,217012
Jasienica,2402052
Wilamowice,2402093
Werbkowice,604082
Dzwola,605032
Fajsławice,606022
Słubice – Słubicki,805053
Zwierzyn,806052
Słońsk,807032
Rząśnia,1009052
Pruszków,1421021
Wiśniowa – Strzyżowski,1819052
Tuczno,3217043
Chełm,662011
Zamość – Zamość,664011
Brody – Żarski,811032
Linia,2215062
Mława,1413011
Harasiuki,1812012
Wojnicz,1216133
Ruja,209082
Więcbork,413043
Drzycim,414032
Dobra – Łobeski,3218013
Radowo Małe,3218032
Terespol,601021
Lipinki Łużyckie,811052
Zakroczym,1414063
Czerwin,1415032
Krzywcza,1813052
Busko-Zdrój,2601013
Chmielnik – Kielecki,2604043
Górno,2604062
Iwaniska,2606022
Fałków,2605012
Skarżysko-Kamienna,2610011
Michałów,2608032
Bodzechów,2607032
Rytwiany,2612062
Krasocin,2613022
Kielce,2661011
Młynary,2804063
Prostki,2805042
Kętrzyn (gmina wiejska),2808032
Reszel,2808053
Orneta,2809053
Olsztynek,2814093
Kiwity,2809022
Piecki,2810042
Kurzętnik,2812042
Ruciane-Nida,2816043
Biała Piska,2816013
Pisz,2816033
Miłakowo,2815063
Frombork,2802033
Górowo Iławeckie,2801021
Braniewo,2802011
Krzemieniewo,3013012
Chodzież (gmina wiejska),3001032
Lanckorona,1218042
Świekatowo,414102
Śliwice,416052
Drelów,601042
Janów Podlaski,601052
Sosnówka,601152
Tuczna,601172
Zalesie,601192
Osieck,1417062
Otwock,1417021
Somianka,1435042
Siemiątkowo,1437052
Tryńcza,1814082
Kraków,1261011
Malczyce,218022
Udanin,218052
Milicz,213033
Józefów – Biłgorajski,602073
Tarnogród,602123
Tereszpol,602132
Maszewo – Krośnieński,802072
Brójce,1006032
Radzanowo,1419102
Płock,1462011
Lubenia,1816102
Besko,1817022
Turośń Kościelna,2002112
Kwidzyn,2207011
Lubanie,418102
Kowal (gmina wiejska),418092
Lubień Kujawski,418113
Rogowo – Żniński,419052
Katowice,2469011
Czerwionka-Leszczyny,2412013
Imielin,2414021
Lędziny,2414031
Zawiercie,2416021
Roźwienica,1804102
Gołcza,1208022
Inowrocław (gmina wiejska),407042
Żyrzyn,614112
Nałęczów,614083
Dziemiany,2206022
Kościerzyna (gmina wiejska),2206042
Stara Kiszewa,2206082
Lichnowy,2209032
Tarnowiec,1805112
Chorkówka,1807012
Miejsce Piastowe,1807072
Wiśniowa – Myślenicki,1209092
Grybów,1210011
Łabowa,1210082
Grybów (gmina wiejska),1210042
Łagiewniki,202062
Lipno – Lipnowski,408011
Piaski – Świdnicki,617033
Mełgiew,617022
Stegna,2210042
Ustka,2212011
Opinogóra Górna,1402072
Sońsk,1402092
Pilawa,1403103
Cieszanów,1809023
Lubaczów,1809042
Wielkie Oczy,1809082
Podegrodzie,1210142
Stary Sącz,1210163
Kotla,203042
Malechowo,3213042
Ulhówek,618132
Godzianów,1015032
Słupia,1015092
Sabnie,1429072
Michałowice – Krakowski,1206082
Rutka-Tartak,2012062
Ciechanowiec,2013023
Ciechocinek,401021
Zakrzewo – Aleksandrowski,401092
Bobrowo,402022
Górzno – Brodnicki,402053
Płoty,3205043
Dębowa Kłoda,613012
Pruszcz Gdański,2204011
Budziszewice,1016032
Rokiciny,1016072
Tomaszów Mazowiecki (gmina wiejska),1016092
Mirów,1430032
Błonie,1432013
Dębica (gmina wiejska),1803042
Pruchnik,1804073
Radymno (gmina wiejska),1804082
Kamienica,1207052
Gryfino,3206043
Zbąszyń,3015063
